2020-02-25,11:21:06.190,533.000,TCP,192.168.250.3:80,->,23.226.231.226:3682,13,572,1,
2020-02-25,11:28:30.860,90.270,TCP,192.168.250.50:61137,->,40.114.211.99:443,14,2241,1,
2020-02-25,11:29:30.210,31.580,TCP,192.168.250.3:80,->,23.226.231.226:28857,7,308,1,
2020-02-25,11:30:01.860,0.000,UDP,192.168.250.62:58474,->,192.168.250.1:123,2,152,1,
2020-02-25,11:30:01.860,0.000,UDP,192.168.250.1:123,->,192.168.250.62:58474,2,152,1,
2020-02-25,11:30:02.530,0.000,UDP,192.168.250.50:62595,->,192.168.250.1:53,2,132,1,
2020-02-25,11:30:02.540,0.000,UDP,192.168.250.1:53,->,192.168.250.50:62595,2,450,1,
2020-02-25,11:30:02.540,0.000,UDP,192.168.250.50:62596,->,173.194.73.95:443,11,5023,1,
2020-02-25,11:30:02.550,0.000,UDP,173.194.73.95:443,->,217.15.20.194:62596,12,6248,1,
2020-02-25,11:30:02.700,0.000,UDP,192.168.250.50:60512,->,192.168.250.1:53,2,126,1,
2020-02-25,11:30:02.700,0.000,UDP,192.168.250.50:56363,->,192.168.250.1:53,2,112,1,
2020-02-25,11:30:02.700,0.000,UDP,192.168.250.1:53,->,192.168.250.50:56363,2,616,1,
2020-02-25,11:30:02.700,0.000,UDP,192.168.250.1:53,->,192.168.250.50:60512,2,502,1,
2020-02-25,11:30:02.710,0.000,UDP,192.168.250.50:56364,->,108.177.14.94:443,6,4313,1,
2020-02-25,11:30:02.730,0.000,UDP,108.177.14.94:443,->,217.15.20.194:56364,4,4185,1,
2020-02-25,11:30:03.680,0.000,UDP,192.168.250.27:61617,->,192.168.250.1:53,2,156,1,
2020-02-25,11:30:03.680,0.000,UDP,192.168.250.27:61618,->,192.168.250.1:53,2,156,1,
2020-02-25,11:30:03.680,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61617,2,508,1,
2020-02-25,11:30:03.680,0.000,UDP,192.168.250.27:61619,->,192.168.250.1:53,2,158,1,
2020-02-25,11:30:03.680,0.000,UDP,192.168.250.27:61620,->,192.168.250.1:53,2,158,1,
2020-02-25,11:30:03.680,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61618,2,700,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.27:61621,->,192.168.250.1:53,2,156,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.27:61622,->,192.168.250.1:53,2,156,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61620,2,768,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.27:61623,->,192.168.250.1:53,2,176,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.27:61624,->,192.168.250.1:53,2,176,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61619,2,768,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.27:61625,->,192.168.250.1:53,2,154,1,
2020-02-25,11:30:03.690,0.000,UDP,192.168.250.27:61626,->,192.168.250.1:53,2,154,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61622,2,764,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.27:61627,->,192.168.250.1:53,2,154,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.27:61628,->,192.168.250.1:53,2,154,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61621,2,764,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61624,2,676,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.27:61629,->,192.168.250.1:53,2,152,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.27:61630,->,192.168.250.1:53,2,152,1,
2020-02-25,11:30:03.700,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61623,2,676,1,
2020-02-25,11:30:03.710,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61626,2,888,1,
2020-02-25,11:30:03.710,0.000,UDP,192.168.250.27:61631,->,192.168.250.1:53,2,156,1,
2020-02-25,11:30:03.710,0.000,UDP,192.168.250.27:61632,->,192.168.250.1:53,2,156,1,
2020-02-25,11:30:03.710,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61625,2,888,1,
2020-02-25,11:30:03.710,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61628,2,760,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.27:61633,->,192.168.250.1:53,2,152,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.27:61634,->,192.168.250.1:53,2,152,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61627,2,760,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61630,2,596,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.27:61635,->,192.168.250.1:53,2,160,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.27:61636,->,192.168.250.1:53,2,160,1,
2020-02-25,11:30:03.720,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61629,2,596,1,
2020-02-25,11:30:03.730,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61632,2,700,1,
2020-02-25,11:30:03.730,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61631,2,700,1,
2020-02-25,11:30:03.730,0.000,UDP,192.168.250.1:53,->,192.168.250.27:61634,2,884,1,
